Year,Country,Industry,Sales,Assets,Profits,Market Value,Sales Growth,Assets Growth,Profits Growth,Market Value Growth
2016,Japan,Chemicals,112941,138835,4529,78019,-18.817567567567572,-7.387765992929096,-37.66859344894027,-23.542266909703848
2016,Japan,Construction,176286,184421,6827,125436,-8.000855873956903,2.8136742225740585,2.032581079061435,19.64403239190775
2016,Japan,Consumer Durables,1207415,1552464,52852,832389,-6.222597789726558,3.2443759605607303,-9.798098748997319,-14.082005082481952
2016,Japan,Diversified Financials,31456,620006,4109,47295,-10.775776485604883,-19.965146449455894,-36.83320522674865,-31.363016283052268
2016,Japan,Diversified Metals & Mining,136559,150109,3302,48976,-18.03968406395544,-5.246779151753866,-41.55752212389381,-16.321823369611643
2016,Japan,Drugs & Biotechnology,118522,140800,5905,187081,-8.382418873583475,8.28520230413683,15.422204847537134,38.20076974787432
2016,Japan,Food Markets,100516,121086,1383,50565,-11.284101640762223,11.082977845052987,-34.887005649717516,5.411828472555191
2016,Japan,"Food, Drink & Tobacco",83839,104568,5760,152985,-19.798153728416324,-9.832630571435963,-9.476661951909481,13.048393890354482
2016,Japan,Health Care Equipment & Services,6389,10286,674,28751,38.050993949870346,25.225225225225234,11.221122112211223,255.9613717964591
2016,Japan,"Hotels, Restaurants & Leisure",3871,6454,616,25737,-10.826998387468322,9.874021109976173,-4.643962848297212,-10.107924976424155
2016,Japan,IT Software & Services,1572,3538,455,6762,-5.868263473053892,196.56328583403186,-18.894830659536545,8.174692049272124
2016,Japan,Insurance,303618,3419111,10000,140981,56.04323313100996,289.17305402716727,60.87516087516087,59.1998283571977
2016,Japan,Materials,20287,29634,317,6888,-10.606327663699656,-2.2754254056193135,-46.08843537414966,13.700891383294822
2016,Japan,Media,33036,55269,1213,28605,-34.92238594279411,5.0202367605981735,42.2039859320047,16.75510204081632
2016,Japan,Oil & Gas Operations,205109,181588,-1431,53779,-31.113917333610974,-7.423438304554186,-515.9883720930233,-12.641120189730515
2016,Japan,Real Estate,36245,140453,2547,74411,-12.582605759490617,-3.3571408912008383,-26.472286374133947,-16.04215324555168
2016,Japan,Retailing,33811,60467,1230,37263,-26.021792403290746,-0.27542302998317947,-3.680501174628037,-4.841798820194587
2016,Japan,Semiconductors,11476,13562,1477,21763,-33.03378654373578,-36.08558367500825,-2.1206096752816483,-33.68982327848873
2016,Japan,Technology Hardware & Equipment,46291,35749,659,21825,-11.301232060395872,-0.18149327078795796,-49.30769230769231,-18.572547849121367
2016,Japan,Telecommunications Services,206316,397680,13840,243308,-9.474792681321576,3.4270213756459666,-6.914178100618784,18.20076466044509
2016,Japan,Trading Companies,319417,499291,8980,106625,-17.212162995754564,-5.202291286541827,-29.772425119261747,-2.635351699829236
2016,Japan,Transportation,147140,256396,7551,136559,-11.024302930985485,0.26474372260176793,-8.037997807818776,2.1230930302123863
2016,Japan,Utilities,160465,356634,8240,50484,-14.845122294217228,-0.9187616859429704,-410.1242002258186,9.241988185142702
2017,Japan,Airline,28002,33321,2121,21035,8.274688732503277,4.444723066796219,10.124610591900307,-9.612409762805086
2017,Japan,Banking,166813,9596252,31479,285804,2.4530306659542145,10.48190883225324,8.675688738521025,10.217539692027655
2017,Japan,Business Services & Supplies,111242,194969,5406,120278,14.729785478547864,12.739899500974339,2.3088569265707903,13.552297423600157
2017,Japan,Capital Goods,161843,203979,8121,190161,5.5830642267671315,3.7765318789556135,-6.558508802209184,17.967344507996373
2017,Japan,Chemicals,126093,156165,6924,117716,11.645018195340938,12.482443187956926,52.881430779421514,50.88119560619848
2017,Japan,Construction,207189,203413,10882,134697,17.53003641809332,10.29817645495903,59.39651384209756,7.383047928824271
2017,Japan,Consumer Durables,1260729,1585386,48959,900203,4.415548920627943,2.1206288841480347,-7.365851812608792,8.14691208076992
2017,Japan,Diversified Financials,52720,1152524,6290,68931,67.59918616480162,85.88916881449535,53.07860793380384,45.74690770694576
2017,Japan,Diversified Metals & Mining,135341,150825,855,46980,-0.8919221728337257,0.4769867229813096,-74.10660205935797,-4.075465534139166
2017,Japan,Drugs & Biotechnology,141679,151701,7381,162459,19.538144816996006,7.742187499999997,24.99576629974598,-13.161144103356303
2017,Japan,Food Markets,129390,125368,951,49401,28.72577500099487,3.53632955089771,-31.23644251626898,-2.3019875407890855
2017,Japan,"Food, Drink & Tobacco",100126,114912,7225,143991,19.42651987738404,9.89212761074134,25.434027777777768,-5.879007745857434
2017,Japan,Health Care Equipment & Services,6918,11422,737,26007,8.279856002504292,11.04413766284269,9.347181008902083,-9.5440158603179
2017,Japan,"Hotels, Restaurants & Leisure",4339,7065,699,19636,12.089899250839586,9.466997211031924,13.474025974025983,-23.705171542914872
2017,Japan,IT Software & Services,3832,5273,470,8987,143.76590330788807,49.03900508762011,3.296703296703307,32.9044661342798
2017,Japan,Insurance,317875,3548411,12035,148298,4.695703153304476,3.78168477127534,20.35,5.190061072059349
2017,Japan,Materials,21996,28021,-73,6439,8.424113964607871,-5.443072146858341,-123.02839116719242,-6.518583042973292
2017,Japan,Media,45390,63496,1669,34150,37.39556847075918,14.88537878376668,37.59274525968672,19.384722950533128
2017,Japan,Oil & Gas Operations,169009,172844,1081,60354,-17.600397837247517,-4.815296164944815,-175.54157931516423,12.225961806653164
