Year,Country,Industry,Sales,Assets,Profits,Market Value,Sales Growth,Assets Growth,Profits Growth,Market Value Growth,clusters
2015,United States of America,Utilities,331228,1155073,28566,536511,10.53423702,8.999691423,21.32512211,11.16956689,0
2016,United States of America,Aerospace & Defense,253325,269026,17914,317947,-1.669856032,-5.628422393,-10.88892205,-11.30641211,0
2016,United States of America,Air Courier,114167,78712,6437,146875,1.933911304,5.696253525,8.403502863,2.234364668,0
2016,United States of America,Airline,151161,180052,23248,119887,3.649940345,11.4003935,262.3441397,-5.539797349,0
2016,United States of America,Banking,541582,11601202,109958,1192620,5.003945534,2.636384757,29.42021139,-2.915261081,1
2016,United States of America,Business Services & Supplies,171706,350176,13390,357666,13.35001287,25.42524652,-7.79506955,4.360080882,0
2016,United States of America,Capital Goods,189990,257624,15793,262415,-15.70723137,-8.238529104,-22.12140638,-11.99945003,0
2016,United States of America,Casinos & Gaming,29313,68919,7420,60617,-24.3144849,-15.60559862,1038.03681,-14.32831602,0
2016,United States of America,Chemicals,200658,293540,21385,373796,-11.34468818,-6.27564297,-6.345800123,-10.9173844,0
2016,United States of America,Conglomerates,305168,783189,19844,666777,-9.940623045,-15.77154755,-42.99011721,4.188138893,0
2016,United States of America,Construction,110405,101812,5583,105375,40.69708169,36.27079625,27.96241118,76.93134308,0
2016,United States of America,Consumer Durables,944564,1014556,59439,1143376,-2.617047512,4.058733272,14.85131297,-2.38610121,0
2016,United States of America,Diversified Financials,666751,9688346,95539,1316408,1.486333042,2.404874839,-1.13416464,2.066041693,1
2016,United States of America,Diversified Metals & Mining,81925,138375,-13261,68656,-24.62577398,-18.63548698,12293.45794,-4.837413024,0
2016,United States of America,Drugs & Biotechnology,718739,893090,62841,1495949,14.2682033,36.85000881,15.07654556,2.810124668,0
2016,United States of America,Food Markets,207458,62280,3541,73779,10.0006893,4.572090602,5.57543232,-10.08482219,0
2016,United States of America,"Food, Drink & Tobacco",456767,576907,47507,1095624,-12.5163517,0.272883545,6.570505631,3.813420405,0
2016,United States of America,Health Care Equipment & Services,889251,1008495,51437,1272279,6.431100228,14.83921292,-5.799941396,1.738287669,0
2016,United States of America,"Hotels, Restaurants & Leisure",150007,198333,16047,382807,2.932760596,0.832761382,9.558271318,0.951745526,0
2016,United States of America,IT Software & Services,406176,804583,55522,1916827,3.610511655,9.046171444,-23.89659521,19.00997365,0
2016,United States of America,Insurance,460507,3849828,35773,448121,-6.729170338,-4.995463022,-12.93353129,-10.5641519,0
2016,United States of America,Materials,71449,100332,2859,87504,-5.053686281,19.85951164,-34.68128855,4.946030223,0
2016,United States of America,Media,346809,681703,34725,730299,-9.907571932,-6.568927898,-26.380173,-16.59740233,0
2016,United States of America,Oil & Gas Operations,949857,1691427,-47973,1370157,-35.6859349,-11.53314473,-144.1411102,-15.89397225,0
2016,United States of America,Real Estate,71760,631623,13554,482693,14.43880968,-6.357689924,6.859035005,-2.150609566,0
2016,United States of America,Retailing,1683581,866101,55665,1441714,4.153698346,4.997211716,22.51568174,0.54880409,0
2016,United States of America,Semiconductors,148435,266524,28064,488111,-7.827247889,3.398457504,-16.27185393,-7.61562455,0
2016,United States of America,Technology Hardware & Equipment,499166,647947,76681,932256,15.87384861,9.172044279,12.31361865,-14.26884602,0
2016,United States of America,Telecommunications Services,317363,777943,36725,526529,7.828134397,20.68822149,110.6757687,13.11284883,0
2016,United States of America,Transportation,75855,155264,9699,170923,7.606429007,15.76671289,-7.026457055,-10.24083099,0
2016,United States of America,Utilities,305491,1187231,20635,560660,-7.770176434,2.784066462,-27.76377512,4.501119269,0
2017,United States of America,Aerospace & Defense,270440,288295,19768,406488,6.756143294,7.162504739,10.34944736,27.84772305,0
2017,United States of America,Air Courier,124170,89949,5767,153733,8.761726243,14.27609513,-10.40857542,4.669276596,0
2017,United States of America,Airline,149330,199821,13119,128012,-1.211291272,10.97960589,-43.5693393,6.777215211,0
2017,United States of America,Banking,547860,11902014,110213,1493006,1.159196576,2.592938215,0.231906728,25.18706713,1
2017,United States of America,Business Services & Supplies,182703,391228,13588,440895,6.404551967,11.72324774,1.478715459,23.27003405,0
2017,United States of America,Capital Goods,171676,253459,11138,332847,-9.639454708,-1.616697202,-29.4750839,26.83992912,0
2017,United States of America,Casinos & Gaming,25331,61330,3013,72671,-13.58441647,-11.01147724,-59.393531,19.88551067,0
2017,United States of America,Chemicals,184333,287684,17331,401131,-8.135733437,-1.994958098,-18.957213,7.312812336,0
2017,United States of America,Conglomerates,300321,660224,29392,666926,-1.588305458,-15.70055248,48.11529933,0.022346302,0
2017,United States of America,Construction,116432,113082,6106,120011,5.458991893,11.06942207,9.367723446,13.88944247,0
2017,United States of America,Consumer Durables,885250,1068015,58878,1135025,-6.27951097,5.269201503,-0.943824762,-0.730380907,0
2017,United States of America,Diversified Financials,704491,10001444,100869,1531072,5.660283974,3.231697134,5.578873549,16.3067985,1
2017,United States of America,Diversified Metals & Mining,92905,133346,-3936,93918,13.40250229,-3.63432701,-70.31898047,36.79503612,0
2017,United States of America,Drugs & Biotechnology,731207,779908,57847,1310224,1.734704809,-12.67307886,-7.947040945,-12.41519597,0
2017,United States of America,Food Markets,239537,78588,3807,74695,15.46288887,26.1849711,7.512002259,1.241545697,0
2017,United States of America,"Food, Drink & Tobacco",462621,718082,62034,1271197,1.281616229,24.47101526,30.57865157,16.02493191,0
2017,United States of America,Health Care Equipment & Services,918488,966947,55995,1259449,3.287823123,-4.11980228,8.861325505,-1.008426611,0
2017,United States of America,"Hotels, Restaurants & Leisure",149712,203467,17124,383240,-0.196657489,2.588575779,6.711534866,0.113111829,0
2017,United States of America,IT Software & Services,414010,886170,74567,2285217,1.928720555,10.14028385,34.30171824,19.21874014,0
